PC	variation
PC01	39.125896055352705
PC02	5.932313710347205
PC03	3.7425542973016444
PC04	3.5546127731652626
PC05	3.407672767177529
PC06	3.115033757944657
PC07	2.834179103877535
PC08	2.6163329495497525
PC09	2.3606473281612432
PC10	2.314928368664734
PC11	2.1640989169029914
PC12	2.0722595634159386
PC13	2.043716342632781
PC14	1.927689901468703
PC15	1.8366958946147376
PC16	1.8096407239455818
PC17	1.7370998091196572
PC18	1.5861224476938514
PC19	1.518961914852033
PC20	1.4964774682896644
PC21	1.3165842162651484
PC22	1.2841917995024419
PC23	1.169219951337123
PC24	1.1233833537816895
PC25	1.0289302695426155
PC26	0.8123433465204631
PC27	0.7940943625616895
PC28	0.7353783368606561
PC29	0.6139540923886643
PC30	0.5466009181113578
PC31	0.5014151770557773
PC32	0.4782402972099048
